Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,Water Footprint liters water/kg o liter of food ITEM,FDC ID,FDC Food Name,Average Price per kg (USD)
WHEAT,0.57,1639.0,2707720,"Bread, wheat or cracked wheat",4.24
BEAN,0.43,5053.0,2707400,"Bean dip, made with refried beans",3.0
CHICKPEA,0.77,4177.0,1865046,CHICKPEA,2.2
COWPEA,0.49,6906.0,169224,"Cowpeas, leafy tips, raw",2.2
LENTIL,1.03,5874.0,2707431,Lentil curry,3.0
PEA,0.45,1979.0,170419,"Peas, green, raw",2.2
SOYBEAN,0.56,1816.4,174271,"Soybeans, mature cooked, boiled, without salt",2.2
CHESTNUT,0.44,2750.0,2051353,CHESTNUT,4.4
MIXED NUTS,0.47,9063.0,2614310,MIXED NUTS,12.0
PALM NUT,0.8,2868.0,2707505,"Mixed nuts, unroasted",12.0
PEANUT,0.83,2782.0,2088304,PEANUT,3.5
PISTACHIO,1.6,11363.0,2043616,PISTACHIO,15.0
SESAM SEED,0.88,9371.0,2707586,Sesame seeds,8.8
SUNFLOWER SEED,1.16,3366.0,2707584,"Sunflower seeds, flavored",8.8
CHILLY,0.8,7365.0,2585446,"CHILLI POWDER BLEND, CHILLI",6.6
GINGER,0.88,1657.0,2127806,GINGER,6.6
POTATO,0.24,554.8,2710790,"Potato, cooked, as ingredient",2.2
SWEET POTATO,0.27,383.0,477475,SWEET POTATO,2.2
CABAGGE,0.23,280.0,169975,"Cabbage, raw",1.5
LETTUCE,0.41,237.0,2709789,"Lettuce, raw",1.5
SPINACH,0.34,292.0,1905313,SPINACH,2.2
CARROT,0.24,195.0,2709660,"Carrots, raw",1.5
GARLIC,0.71,589.0,1662203,GARLIC,10.0
ONION,0.22,290.0,2438059,ONION,2.2
TURNIP,0.35,195.0,170470,"Turnip greens and turnips, frozen, unprepared",2.2
ARTICHOKE,0.33,818.0,2709766,Artichoke,4.4
BROCCOLI,0.57,325.0,2549992,BROCCOLI,2.2
CAULIFLOWER,0.31,285.0,2409200,CAULIFLOWER,2.2
CUCUMBER,0.27,353.0,2709821,Cucumber salad made with cucumber and vinegar,3.0
EGGPLANT,0.19,362.0,2710049,Eggplant dip,3.0
PEPPER,0.65,379.0,1889244,PEPPER,4.4
PUMPKIN,0.24,400.0,2434324,PUMPKIN,1.5
TOMATO,0.45,41.0,2293024,TOMATO,2.2
ZUCCHINI,0.7,336.0,2428955,ZUCCHINI,2.2
CARP,1.76,2364.0,2706233,"Fish, carp",8.8
COD,3.08,2782.0,2099857,COD,12.0
SALMON,3.37,2193.0,2016166,SALMON,20.0
TROUT,4.2,2188.0,2706306,"Fish, trout, fried",15.0
TURBOT,14.51,1504.0,173710,"Fish, turbot, european, raw",20.0
